"","Item","Loading","Coef"
"641","Cheese","PC23",-0.475671225682663
"642","Fries","PC23",0.262974023666455
"643","Sour_cream","PC23",-0.137344633642879
"644","Pork","PC23",-0.0317093102719061
"645","Chicken","PC23",0.0109389809478351
"646","Shrimp","PC23",-0.0963335827699713
"647","Fish","PC23",-0.246432713374197
"648","Tomato","PC23",0.203266325937535
"649","Bell_pepper","PC23",-0.254122652180571
"650","Carrots","PC23",-0.107278718092912
"651","Cabbage","PC23",-0.393684733138763
"652","Sauce","PC23",-0.0350070667648712
"653","Salsa","PC23",0.181846186949156
"654","Cilantro","PC23",0.00744322347952269
"655","Onion","PC23",-0.176647688538185
"656","Taquito","PC23",-0.0254704130985826
"657","Pineapple","PC23",0.000897794099386253
"658","Ham","PC23",0.0773566133660066
